"","x"
"1054",36.2
"1055",34.7
"1056",46
"1057",70.8
"1058",60.4
"1059",46.8
"1060",41.1
"1061",58.4
"1062",44.3
"1063",51.3
"1064",31.5
"1065",48.3
"1066",46.2
"1067",22.6
"1068",51.6
"1069",35.9
"1070",25.7
"1071",34.3
"1072",50
"1073",39.1
"1074",34.3
"1075",71.3
"1076",76.5
"1077",68.4
"1078",49.1
"1079",34.7
"1080",59
"1081",43.7
"1082",31.3
"1083",44.7
"1084",70.7
"1085",39.2
"1086",63.8
"1087",55.2
"1088",73.7
"1089",47.2
"1090",49.3
"1091",39
"1092",37.1
"1093",62.7
"1094",71.6
"1095",59.8
"1096",59.5
